ID,ShopId,OrderId,评分,评论内容,评论时间,评论详情
3135960706,157947306,3.01384E+18,5,,2017-10-19T15:09:25,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T14:33:03
"
3061844906,157947306,3.01384E+18,4,,2017-10-14T10:40:00,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 4
评论内容: 
评论时间: 2017-10-14T10:40:00
"
3051204026,157947306,3.01384E+18,5,,2017-10-13T11:55:33,"
菜品名称: 招牌奇味鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-13T11:55:33
"
3062304186,157947306,3.01384E+18,5,,2017-10-14T11:06:25,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T11:06:25
"
3051241234,157947306,3.01384E+18,5,味道不错，像百年老字号,2017-10-13T11:56:50,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 4
评论内容: 
评论时间: 2017-10-13T11:56:50
"
3051261090,157947306,3.01383E+18,5,,2017-10-13T11:57:32,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-13T11:57:32
"
3050112762,157947306,3.01383E+18,5,,2017-10-13T11:17:28,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-13T11:17:28
"
3050083154,157947306,3.01383E+18,5,,2017-10-13T11:16:24,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-13T11:16:24
"
3050028162,157947306,3.01383E+18,5,,2017-10-13T11:14:23,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-13T11:14:23
"
3049994794,157947306,3.01383E+18,5,,2017-10-13T11:13:09,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-13T11:13:09
"
3072646546,157947306,3.01395E+18,5,送餐快 味道棒 服务好 分量足 干净卫生 ,2017-10-14T21:10:57,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T21:10:57
"
3087829370,157947306,3.01395E+18,5,,2017-10-15T20:39:49,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:39:49
"
3072644330,157947306,3.01395E+18,5,送餐快 服务好 味道棒 分量足 干净卫生 ,2017-10-14T21:10:46,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T21:10:46
"
3087782370,157947306,3.01395E+18,5,,2017-10-15T20:36:15,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:36:15
"
3087787578,157947306,3.01395E+18,5,,2017-10-15T20:36:40,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:36:40
"
3087792026,157947306,3.01395E+18,5,,2017-10-15T20:37:00,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:37:00
"
3087738426,157947306,3.01395E+18,5,,2017-10-15T20:32:58,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:32:58
"
3087700530,157947306,3.01395E+18,5,,2017-10-15T20:30:06,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:30:06
"
3087704186,157947306,3.01395E+18,5,,2017-10-15T20:30:23,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:30:23
"
3087745714,157947306,3.01395E+18,5,,2017-10-15T20:33:33,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:33:33
"
3081321114,157947306,3.01395E+18,5,,2017-10-15T14:36:41,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T14:36:41
"
3081303234,157947306,3.01395E+18,5,,2017-10-15T14:35:21,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T14:35:21
"
3087750938,157947306,3.01394E+18,5,,2017-10-15T20:33:56,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:33:56
"
3081274114,157947306,3.01394E+18,5,,2017-10-15T14:33:13,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T14:33:13
"
3071580210,157947306,3.01394E+18,4,,2017-10-14T19:46:44,"
菜品名称: 加一份油豆腐（爆款）
菜品评分: 4
评论内容: 
评论时间: 2017-10-14T19:46:44
菜品名称: 加一份酱骨（爆款）
菜品评分: 4
评论内容: 
评论时间: 2017-10-14T19:46:44
菜品名称: 招牌奇味鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:46:44
"
3077241202,157947306,3.01394E+18,5,,2017-10-15T11:39:27,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T11:39:27
"
3077224026,157947306,3.01394E+18,5,,2017-10-15T11:38:48,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T11:38:48
"
3077013962,157947306,3.01394E+18,5,,2017-10-15T11:31:30,"
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T11:31:31
"
3076936370,157947306,3.01394E+18,5,,2017-10-15T11:28:49,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T11:28:49
"
3070165098,157947306,3.01394E+18,4,,2017-10-14T18:30:56,"
菜品名称: 加一份花甲
菜品评分: 4
评论内容: 
评论时间: 2017-10-14T18:30:57
菜品名称: 招牌酱骨鸡煲小份+米饭
菜品评分: 4
评论内容: 
评论时间: 2017-10-14T18:30:57
"
3071300178,157947306,3.01394E+18,5,,2017-10-14T19:29:21,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:29:21
"
3087407482,157947306,3.01394E+18,5,,2017-10-15T20:09:47,"
菜品名称: 招牌奇味鸡煲小份+米饭-小份
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:09:48
"
3082096298,157947306,3.01393E+18,4,,2017-10-15T15:38:07,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T15:38:07
"
3082540066,157947306,3.01393E+18,5,不错不错不错,2017-10-15T16:13:00,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 不错不错不错
评论时间: 2017-10-15T16:13:00
"
3082062762,157947306,3.01393E+18,5,,2017-10-15T15:35:21,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T15:35:21
"
3091018402,157947306,3.01393E+18,5,,2017-10-16T10:20:05,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-16T10:20:05
"
3091022114,157947306,3.01393E+18,5,,2017-10-16T10:20:28,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-16T10:20:28
"
3071088402,157947306,3.01393E+18,5,,2017-10-14T19:17:20,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:17:21
"
3068583154,157947306,3.01393E+18,5,,2017-10-14T17:15:48,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T17:15:48
"
3071400930,157947306,3.01393E+18,5,,2017-10-14T19:35:27,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:35:27
"
3087708866,157947306,3.01393E+18,5,,2017-10-15T20:30:44,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:30:44
"
3087712130,157947306,3.01393E+18,5,,2017-10-15T20:30:59,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:30:59
"
3070419178,157947306,3.01393E+18,4,,2017-10-14T18:43:00,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:43:00
"
3071235698,157947306,3.01393E+18,5,,2017-10-14T19:25:38,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:25:38
"
3075320554,157947306,3.01393E+18,5,包装很好，完整，送餐的小哥很帅,2017-10-15T09:46:53,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 味道不错，也很干净
评论时间: 2017-10-15T09:46:53
"
3075327826,157947306,3.01393E+18,5,不错不错不错,2017-10-15T09:48:00,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T09:48:00
"
3071079882,157947306,3.01393E+18,5,,2017-10-14T19:16:51,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:16:51
"
3087905258,157947306,3.01393E+18,5,速度很快呢,2017-10-15T20:45:38,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 赞赞赞，送餐小哥态度超级好
评论时间: 2017-10-15T20:45:39
"
3080192474,157947306,3.01393E+18,4,,2017-10-15T13:28:12,"
菜品名称: 【鸡汤套餐】老母鸡腿泡饭+养生沙拉
菜品评分: 4
评论内容: 
评论时间: 2017-10-15T13:28:12
"
3087916842,157947306,3.01393E+18,5,送餐很速度,2017-10-15T20:46:35,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 新店吧，以后就点你们家了
评论时间: 2017-10-15T20:46:35
"
3087961250,157947306,3.01393E+18,5,,2017-10-15T20:50:07,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:50:07
"
3087953418,157947306,3.01393E+18,5,不错哦，味道不错，送餐很迅速,2017-10-15T20:49:30,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:49:30
"
3070967466,157947306,3.01393E+18,5,,2017-10-14T19:10:43,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:10:43
"
3070893538,157947306,3.01393E+18,5,,2017-10-14T19:06:45,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:06:45
"
3071074418,157947306,3.01393E+18,5,,2017-10-14T19:16:32,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:16:32
"
3071011834,157947306,3.01393E+18,5,,2017-10-14T19:13:07,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T19:13:07
"
3070009034,157947306,3.01393E+18,5,,2017-10-14T18:23:43,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:23:43
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:23:43
"
3069973810,157947306,3.01393E+18,5,,2017-10-14T18:22:05,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:22:05
"
3087442106,157947306,3.01393E+18,5,,2017-10-15T20:12:04,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:12:04
"
3069944226,157947306,3.01393E+18,5,,2017-10-14T18:20:43,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:20:43
"
3087414194,157947306,3.01393E+18,5,,2017-10-15T20:10:12,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:10:12
"
3069899770,157947306,3.01393E+18,5,,2017-10-14T18:18:41,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:18:41
"
3070414818,157947306,3.01393E+18,5,,2017-10-14T18:42:48,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:42:48
"
3082548466,157947306,3.01393E+18,5,,2017-10-15T16:13:38,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T16:13:38
"
3087669970,157947306,3.01393E+18,5,,2017-10-15T20:27:56,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:27:56
"
3087675466,157947306,3.01393E+18,5,,2017-10-15T20:28:19,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:28:19
"
3069838618,157947306,3.01393E+18,5,,2017-10-14T18:15:54,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:15:54
"
3069816026,157947306,3.01393E+18,5,,2017-10-14T18:14:52,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T18:14:52
"
3076585194,157947306,3.01393E+18,5,送货很快，包装很棒,2017-10-15T11:15:46,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T11:15:46
"
3076702058,157947306,3.01393E+18,5,分量很足，好吃！,2017-10-15T11:20:15,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T11:20:15
"
3087645906,157947306,3.01392E+18,5,,2017-10-15T20:26:15,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:26:15
"
3087649938,157947306,3.01392E+18,5,,2017-10-15T20:26:32,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:26:32
"
3067624386,157947306,3.01392E+18,5,,2017-10-14T16:05:10,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-14T16:05:10
"
3087621954,157947306,3.01392E+18,5,商家接单，送单都很快,2017-10-15T20:24:34,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 很大份，老板良心
评论时间: 2017-10-15T20:24:34
"
3087626354,157947306,3.01392E+18,5,,2017-10-15T20:24:51,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:24:51
"
3087480090,157947306,3.01392E+18,5,,2017-10-15T20:14:37,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:14:38
"
3087566202,157947306,3.01392E+18,5,,2017-10-15T20:20:45,"
菜品名称: 招牌酱骨鸡煲大份+米饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:20:45
"
3087447922,157947306,3.01392E+18,5,,2017-10-15T20:12:29,"
菜品名称: 【暖胃暖心】老母鸡腿泡饭
菜品评分: 5
评论内容: 
评论时间: 2017-10-15T20:12:29
"
